"NoTicket";"CodeCli";"Caissier";"DateTicket"
10812;"DACOU";5;13/6/2021 00:00:00
10813;"CHDUD";1;16/6/2021 00:00:00
10814;"JAHEN";3;16/6/2021 00:00:00
10815;"MOELK";3;16/6/2021 00:00:00
10816;"HALER";4;17/6/2021 00:00:00
10817;"CHBES";3;17/6/2021 00:00:00
10818;"NISCH";7;18/6/2021 00:00:00
10819;"MICOL";4;18/6/2021 00:00:00
10820;"ALCLE";3;18/6/2021 00:00:00
10821;"PHFRO";1;19/6/2021 00:00:00
10822;"ROHAM";6;19/6/2021 00:00:00
10823;"JEMAN";5;20/6/2021 00:00:00
10824;"REDAN";1;20/6/2021 00:00:00
10825;"ERBEC";1;20/6/2021 00:00:00
10826;"JEBOR";6;23/6/2021 00:00:00
10827;"FAMAR";1;23/6/2021 00:00:00
10828;"GECAU";9;24/6/2021 00:00:00
10829;"GAANT";9;24/6/2021 00:00:00
10830;"CEGRO";4;24/6/2021 00:00:00
10831;"ALDUV";3;25/6/2021 00:00:00
10832;"CÉDAU";5;25/6/2021 00:00:00
10833;"OLLHE";6;26/6/2021 00:00:00
10834;"CEGRO";1;26/6/2021 00:00:00
10835;"PALEC";1;26/6/2021 00:00:00
10836;"CHLEC";7;27/6/2021 00:00:00
10837;"JEHOU";9;27/6/2021 00:00:00
10838;"RARAB";3;30/6/2021 00:00:00
10839;"CEGRO";3;30/6/2021 00:00:00
10840;"RARAB";4;30/6/2021 00:00:00
10841;"MIGAL";5;2/6/2021 00:00:00
10842;"CHGRA";1;2/6/2021 00:00:00
10843;"JAHEN";4;2/6/2021 00:00:00
10844;"BETIZ";5;2/6/2021 00:00:00
10845;"ARBLA";3;2/6/2021 00:00:00
10846;"MIGAL";6;3/6/2021 00:00:00
10847;"MOELK";4;3/6/2021 00:00:00
10848;"CHNIE";7;4/6/2021 00:00:00
10849;"CHBES";9;4/6/2021 00:00:00
10850;"JAHEN";1;4/6/2021 00:00:00
10851;"CHDUD";5;7/6/2021 00:00:00
10852;"ALCLE";4;7/6/2021 00:00:00
10853;"NOBEL";9;8/6/2021 00:00:00
10854;"CHLEC";3;8/6/2021 00:00:00
10855;"PILED";3;8/6/2021 00:00:00
10856;"SEADI";3;9/6/2021 00:00:00
10857;"JEHOU";6;9/6/2021 00:00:00
10858;"JUBOY";7;10/6/2021 00:00:00
10859;"ERDEB";1;10/6/2021 00:00:00
10860;"JEHER";3;10/6/2021 00:00:00
10861;"CHLAB";4;11/6/2021 00:00:00
10862;"ANLER";7;11/6/2021 00:00:00
10863;"NAROU";4;14/6/2021 00:00:00
10864;"CLHAL";4;14/6/2021 00:00:00
10865;"ARBLA";9;14/6/2021 00:00:00
10866;"JEHOU";5;15/6/2021 00:00:00
10867;"CHROU";6;15/6/2021 00:00:00
10868;"PABEL";7;16/6/2021 00:00:00
10869;"MAEUS";5;16/6/2021 00:00:00
10870;"DELE ";5;16/6/2021 00:00:00
10871;"FAMAR";9;17/6/2021 00:00:00
10872;"JELEC";5;17/6/2021 00:00:00
10873;"FRLAN";4;18/6/2021 00:00:00
10874;"JELEC";5;18/6/2021 00:00:00
10875;"JEHOU";4;18/6/2021 00:00:00
10876;"FAMAR";7;21/6/2021 00:00:00
10877;"CHDUD";1;21/6/2021 00:00:00
10878;"ARBLA";4;22/6/2021 00:00:00
10879;"FRLAN";3;22/6/2021 00:00:00
10880;"REDAN";7;22/6/2021 00:00:00
10881;"MICOL";4;23/6/2021 00:00:00
10882;"MOELK";4;23/6/2021 00:00:00
10883;"CHROU";9;24/6/2021 00:00:00
10884;"PALER";4;24/6/2021 00:00:00
10885;"MIGAL";6;24/6/2021 00:00:00
10886;"DAMIC";1;25/6/2021 00:00:00
10887;"SAJOU";10;25/6/2021 00:00:00
10888;"JELEC";1;28/6/2021 00:00:00
10889;"ALCLE";9;28/6/2021 00:00:00
10890;"MABON";7;28/6/2021 00:00:00
10891;"ANLER";7;29/6/2021 00:00:00
10892;"YATAN";4;29/6/2021 00:00:00
10893;"CHBES";9;30/6/2021 00:00:00
10894;"MOELK";1;30/6/2021 00:00:00
10895;"CHLEC";3;30/6/2021 00:00:00
10896;"YATAN";7;30/6/2021 00:00:00
10897;"ERSWE";3;30/6/2021 00:00:00
10898;"RIDAB";4;2/6/2021 00:00:00
10899;"JEMAN";5;2/6/2021 00:00:00
10900;"YAKAL";1;2/6/2021 00:00:00
10901;"NAROU";4;4/6/2021 00:00:00
10902;"REDAN";1;4/6/2021 00:00:00
10903;"DAMIC";3;5/6/2021 00:00:00
10904;"CHLAB";3;5/6/2021 00:00:00
10905;"YAKAL";9;5/6/2021 00:00:00
10906;"DELE ";4;6/6/2021 00:00:00
10907;"MAFER";6;6/6/2021 00:00:00
10908;"DACOU";4;7/6/2021 00:00:00
10909;"ALDUV";1;7/6/2021 00:00:00
10910;"FRLAN";1;7/6/2021 00:00:00
10911;"JELEC";3;7/6/2021 00:00:00
10912;"ERSWE";10;7/6/2021 00:00:00
10913;"PABEL";4;7/6/2021 00:00:00
10914;"PABEL";6;8/6/2021 00:00:00
10915;"CHGRA";11;8/6/2021 00:00:00
10916;"GECAU";1;8/6/2021 00:00:00
10917;"LODUR";4;11/6/2021 00:00:00
10918;"GESEF";3;11/6/2021 00:00:00
10919;"RARAB";12;11/6/2021 00:00:00
10920;"CLHAL";4;12/6/2021 00:00:00
10921;"ZOHED";1;12/6/2021 00:00:00
10922;"DAMIC";5;12/6/2021 00:00:00
10923;"CÉDAU";7;12/6/2021 00:00:00
10924;"JEHOU";3;13/6/2021 00:00:00
10925;"DAMIC";3;13/6/2021 00:00:00
10926;"MALAZ";4;13/6/2021 00:00:00
10927;"JUBOY";4;14/6/2021 00:00:00
10928;"SAJOU";1;14/6/2021 00:00:00
10929;"ERDEB";6;14/6/2021 00:00:00
10930;"MIGAL";4;15/6/2021 00:00:00
10931;"ERDUR";4;15/6/2021 00:00:00
10932;"FAMAR";11;15/6/2021 00:00:00
10933;"GAANT";6;15/6/2021 00:00:00
10934;"ANLER";3;18/6/2021 00:00:00
10935;"YAKAL";4;18/6/2021 00:00:00
10936;"HALER";3;18/6/2021 00:00:00
10937;"MICOL";7;19/6/2021 00:00:00
10938;"ARBLA";3;19/6/2021 00:00:00
10939;"NISCH";1;19/6/2021 00:00:00
10940;"FAMAR";12;20/6/2021 00:00:00
10941;"MOELK";7;20/6/2021 00:00:00
10942;"DACOU";9;20/6/2021 00:00:00
10943;"SYBEL";4;20/6/2021 00:00:00
10944;"GESEF";6;21/6/2021 00:00:00
10945;"CECHA";4;21/6/2021 00:00:00
10946;"ZOHED";1;21/6/2021 00:00:00
10947;"SYBEL";3;22/6/2021 00:00:00
10948;"JELEC";3;22/6/2021 00:00:00
10949;"GESEF";3;22/6/2021 00:00:00
10950;"NISCH";1;25/6/2021 00:00:00
10951;"ERDUR";9;25/6/2021 00:00:00
10952;"PALEC";1;25/6/2021 00:00:00
10953;"CLHAL";9;25/6/2021 00:00:00
10954;"RARAB";5;26/6/2021 00:00:00
10955;"REDAN";1;26/6/2021 00:00:00
10956;"NOBEL";6;26/6/2021 00:00:00
10957;"NAROU";3;27/6/2021 00:00:00
10958;"RIDAB";7;27/6/2021 00:00:00
10959;"BRLEH";6;27/6/2021 00:00:00
10960;"NAROU";3;28/6/2021 00:00:00
10961;"PABEL";4;28/6/2021 00:00:00
10962;"ARBLA";5;28/6/2021 00:00:00
10963;"LOHUE";9;28/6/2021 00:00:00
10964;"MAFER";3;30/6/2021 00:00:00
10965;"PILED";6;29/6/2021 00:00:00
10966;"SYLEJ";4;29/6/2021 00:00:00
10967;"DIGOM";4;2/6/2021 00:00:00
10968;"CHLEC";1;2/6/2021 00:00:00
10969;"PAMAR";1;2/6/2021 00:00:00
10970;"JALES";9;2/6/2021 00:00:00
10971;"JEHER";5;2/6/2021 00:00:00
10972;"JUBOY";4;2/6/2021 00:00:00
10973;"JUBOY";6;2/6/2021 00:00:00
10974;"PHFRO";3;3/6/2021 00:00:00
10975;"GESEF";1;3/6/2021 00:00:00
10976;"NAROU";1;3/6/2021 00:00:00
10977;"REDAN";6;4/6/2021 00:00:00
10978;"YATAN";9;4/6/2021 00:00:00
10979;"CHLEC";7;4/6/2021 00:00:00
10980;"REDAN";4;5/6/2021 00:00:00
10981;"DAMIC";1;5/6/2021 00:00:00
10982;"GESEF";6;5/6/2021 00:00:00
10983;"MOELK";7;5/6/2021 00:00:00
10984;"MOELK";1;8/6/2021 00:00:00
10985;"ERSWE";9;8/6/2021 00:00:00
10986;"RIDAB";9;8/6/2021 00:00:00
10987;"DIDAL";14;9/6/2021 00:00:00
10988;"ALCLE";3;9/6/2021 00:00:00
10989;"BEAVI";10;9/6/2021 00:00:00
10990;"CHLEC";11;10/6/2021 00:00:00
10991;"ARBLA";1;10/6/2021 00:00:00
10992;"BEGAL";1;10/6/2021 00:00:00
10993;"REDAN";7;10/6/2021 00:00:00
10994;"ZOHED";12;11/6/2021 00:00:00
10995;"SORET";1;11/6/2021 00:00:00
10996;"ARBLA";4;11/6/2021 00:00:00
10997;"JEMAN";12;12/6/2021 00:00:00
10998;"DELE ";11;12/6/2021 00:00:00
10999;"OLLHE";6;12/6/2021 00:00:00
11000;"ALCLE";1;15/6/2021 00:00:00
11001;"REDAN";3;15/6/2021 00:00:00
11002;"MOELK";4;15/6/2021 00:00:00
11003;"CHGAS";3;15/6/2021 00:00:00
11004;"YATAN";3;16/6/2021 00:00:00
11005;"FRLAN";4;16/6/2021 00:00:00
11006;"HALER";3;16/6/2021 00:00:00
11007;"VIVAN";1;17/6/2021 00:00:00
11008;"CHLEC";7;17/6/2021 00:00:00
11009;"JELEC";5;17/6/2021 00:00:00
11010;"DACOU";6;18/6/2021 00:00:00
11011;"PALEC";3;18/6/2021 00:00:00
11012;"ERDEB";1;18/6/2021 00:00:00
11013;"LODUR";7;18/6/2021 00:00:00
11014;"RARAB";10;19/6/2021 00:00:00
11015;"ALDUV";9;19/6/2021 00:00:00
11016;"CLHAL";9;19/6/2021 00:00:00
11017;"CHLEC";9;22/6/2021 00:00:00
11018;"CHROU";4;22/6/2021 00:00:00
11019;"GECAU";6;22/6/2021 00:00:00
11020;"OLLHE";11;23/6/2021 00:00:00
11021;"ARBLA";3;23/6/2021 00:00:00
11022;"DAMIC";9;23/6/2021 00:00:00
11023;"SYBEL";1;23/6/2021 00:00:00
11024;"DIDAL";4;24/6/2021 00:00:00
11025;"CLJAN";6;24/6/2021 00:00:00
11026;"LEHOS";4;24/6/2021 00:00:00
11027;"GESEF";1;25/6/2021 00:00:00
11028;"CHBES";12;25/6/2021 00:00:00
11029;"SYLEJ";4;25/6/2021 00:00:00
11030;"MOELK";7;26/6/2021 00:00:00
11031;"MOELK";6;26/6/2021 00:00:00
11032;"CHLAB";1;26/6/2021 00:00:00
11033;"ERDUR";7;26/6/2021 00:00:00
11034;"PILED";3;29/6/2021 00:00:00
11035;"MIGAL";3;29/6/2021 00:00:00
11036;"ERBEC";4;29/6/2021 00:00:00
11037;"JELEC";7;30/6/2021 00:00:00
11038;"MIGAL";1;30/6/2021 00:00:00
11039;"RARAB";1;10/6/2021 00:00:00
11040;"HALER";4;2/6/2021 00:00:00
11041;"SYLEJ";3;2/6/2021 00:00:00
11042;"PAMAR";4;2/6/2021 00:00:00
11043;"MAFER";5;2/6/2021 00:00:00
11044;"DELE ";4;2/6/2021 00:00:00
11045;"GESEF";6;2/6/2021 00:00:00
11046;"PAJAL";5;2/6/2021 00:00:00
11047;"DIDAL";7;3/6/2021 00:00:00
11048;"GESEF";7;3/6/2021 00:00:00
11049;"BRLEH";3;3/6/2021 00:00:00
11050;"REDAN";6;6/6/2021 00:00:00
11051;"CÉDAU";7;6/6/2021 00:00:00
11052;"DAMIC";3;6/6/2021 00:00:00
11053;"BETIZ";5;6/6/2021 00:00:00
11054;"MICOL";9;7/6/2021 00:00:00
11055;"NAROU";7;7/6/2021 00:00:00
11056;"DIDAL";7;7/6/2021 00:00:00
11057;"RIDAN";3;8/6/2021 00:00:00
11058;"NOBEL";9;8/6/2021 00:00:00
11059;"CHDUD";6;8/6/2021 00:00:00
11060;"LEHOS";7;9/6/2021 00:00:00
11061;"HALER";4;9/6/2021 00:00:00
11062;"DACOU";4;9/6/2021 00:00:00
11063;"ERSWE";3;9/6/2021 00:00:00
11064;"MOELK";1;10/6/2021 00:00:00
11065;"JEMAN";10;10/6/2021 00:00:00
11066;"CHLAB";7;10/6/2021 00:00:00
11067;"ERBEC";1;13/6/2021 00:00:00
11068;"PABEL";11;13/6/2021 00:00:00
11069;"CHGRA";1;13/6/2021 00:00:00
11070;"ANLER";9;14/6/2021 00:00:00
11071;"JEMAN";1;14/6/2021 00:00:00
11072;"CHLEC";4;14/6/2021 00:00:00
11073;"SORET";10;14/6/2021 00:00:00
11074;"OLFER";7;15/6/2021 00:00:00
11075;"ERDUR";12;15/6/2021 00:00:00
11076;"FAMAR";4;15/6/2021 00:00:00
11077;"ALCLE";1;15/6/2021 00:00:00
11078;"JEHOU";11;11/6/2021 00:00:00
11079;"JEBOR";7;24/6/2021 00:00:00
11080;"JEMAN";3;13/6/2021 00:00:00
11081;"FRMIC";1;25/6/2021 00:00:00
11082;"JEHOU";13;8/6/2021 00:00:00
