"Refprod";"Nomprod";"NoFour";"CodeCateg";"NoSousCateg";"QteParUnit";"PrixUnit";"UnitesStock";"UnitesCom";"NiveauReap";"Indisponible"
819;"Bambou, pousses, appertisées, égouttées";34;32;20921;"1";7,97 €;100;0;0;0
820;"Brocoli, surgelé, cuit";34;32;20922;"1";2,64 €;100;0;0;0
821;"Chou de Bruxelles, surgelé, cuit";34;32;20923;"1";11,61 €;100;0;0;0
822;"Carotte, surgelée, cuite";34;32;20924;"1";13,87 €;100;0;0;0
823;"Champignon, lentin comestible ou shiitaké, cuit";34;32;20925;"1";3,74 €;100;0;0;0
824;"Petits pois et carottes, surgelés, cuits";34;32;20926;"1";3,74 €;100;0;0;0
825;"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau";34;32;20927;"1";1,84 €;100;0;0;0
826;"Chou frisé, cuit";34;32;20928;"1";3,86 €;100;0;0;0
827;"Chou chinois (pak-choi ou pé-tsai), cuit";34;32;20929;"1";3,51 €;100;0;0;0
828;"Cardon, cuit";34;32;20930;"1";12,86 €;100;0;0;0
829;"Tomate, pulpe et peau, bouillie/cuite à l'eau";34;32;20931;"1";9,62 €;100;0;0;0
830;"Pois mange-tout ou pois gourmands, cuits";34;32;20932;"1";7,02 €;100;0;0;0
831;"Échalote, cuite";34;32;20933;"1";11,26 €;100;0;0;0
832;"Haricots verts, purée";34;32;20934;"1";3,86 €;100;0;0;0
833;"Légumes (3-4 sortes en mélange), purée";34;32;20935;"1";3,74 €;100;0;0;0
834;"Brocoli, purée";34;32;20936;"1";3,86 €;100;0;0;0
835;"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)";34;32;20937;"1";6,22 €;100;0;0;0
836;"Carotte, purée";34;32;20938;"1";6,41 €;100;0;0;0
837;"Courgette, purée";34;32;20939;"1";9,46 €;100;0;0;0
838;"Tomate, double concentré, appertisé";34;32;20940;"1";7,21 €;100;0;0;0
839;"Macédoine de légumes, surgelée";34;32;20941;"1";7,17 €;100;0;0;0
840;"Poivron rouge, appertisé, égoutté";34;32;20942;"1";7,17 €;100;0;0;0
841;"Céleri-rave, purée";34;32;20943;"1";14,06 €;100;0;0;0
842;"Petits pois, purée";34;32;20944;"1";13,31 €;100;0;0;0
843;"Épinard, purée";34;32;20945;"1";11,98 €;100;0;0;0
844;"Tomate, pulpe et peau, rôtie/cuite au four";34;32;20946;"1";11,10 €;100;0;0;0
845;"Légumes pour couscous, cuits";34;32;20947;"1";12,40 €;100;0;0;0
846;"Légume cuit (aliment moyen)";34;32;20948;"1";10,87 €;100;0;0;0
847;"Gombo, fruit, cuit";34;32;20949;"1";13,66 €;100;0;0;0
848;"Oignon, séché";34;32;20950;"1";13,54 €;100;0;0;0
849;"Tomate, séchée";34;32;20951;"1";13,66 €;100;0;0;0
850;"Champignon, lentin comestible ou shiitaké, séché";34;32;20952;"1";16,02 €;100;0;0;0
851;"Tomate, séchée, à l'huile";34;32;20953;"1";16,21 €;100;0;0;0
852;"Tapioca ou Perles du Japon, cru";34;44;852;"1";6,10 €;100;0;0;0
853;"Pomme de terre, sans peau, cuite au four";34;44;853;"1";4,80 €;100;0;0;0
854;"Pomme de terre, bouillie/cuite à l'eau";34;44;854;"1";5,68 €;100;0;0;0
855;"Chips de pommes de terre, standard";34;44;855;"1";7,01 €;100;0;0;0
856;"Pomme de terre, sans peau, crue";34;44;856;"1";7,36 €;100;0;0;0
857;"Pomme de terre, appertisée, égouttée";34;44;857;"1";5,91 €;100;0;0;0
858;"Pomme de terre noisette, surgelée, crue";34;44;858;"1";7,24 €;100;0;0;0
859;"Pomme de terre vapeur, sous vide";34;44;859;"1";7,24 €;100;0;0;0
860;"Pomme de terre, sautée/poêlée";34;44;860;"1";5,34 €;100;0;0;0
861;"Pomme de terre, flocons déshydratés, au lait ou à la crème";34;44;861;"1";4,57 €;100;0;0;0
862;"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse";34;44;862;"1";19,26 €;100;0;0;0
863;"Pomme de terre, purée, avec lait et beurre, non salée";34;44;863;"1";12,40 €;100;0;0;0
864;"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée";34;44;864;"1";16,97 €;100;0;0;0
865;"Pomme de terre dauphine, surgelée, crue";34;44;865;"1";16,97 €;100;0;0;0
866;"Pomme de terre dauphine, surgelée, cuite";34;44;866;"1";11,64 €;100;0;0;0
867;"Pomme de terre, flocons déshydratés, nature";34;44;867;"1";10,07 €;100;0;0;0
868;"Pomme de terre nouvelle, crue";34;44;868;"1";10,84 €;100;0;0;0
869;"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites";34;44;869;"1";12,74 €;100;0;0;0
870;"Pomme de terre, rôtie/cuite au four";34;44;870;"1";12,74 €;100;0;0;0
871;"Pomme de terre rissolée, surgelée, cuite";34;44;871;"1";11,41 €;100;0;0;0
872;"Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau";34;44;872;"1";12,86 €;100;0;0;0
873;"Pomme de terre primeur, sans peau, bouillie/cuite à l'eau";34;44;873;"1";12,51 €;100;0;0;0
874;"Frites de pommes de terre, surgelées, rôties/cuites au four";34;44;874;"1";11,18 €;100;0;0;0
875;"Frites de pommes de terre, surgelées, cuites en friteuse";34;44;875;"1";10,30 €;100;0;0;0
876;"Pomme de terre duchesse, surgelée, cuite";34;44;876;"1";11,60 €;100;0;0;0
877;"Pomme de terre noisette, surgelée, cuite";34;44;877;"1";10,07 €;100;0;0;0
878;"Pomme de terre sautée/poêlée à la graisse de canard";34;44;878;"1";12,86 €;100;0;0;0
879;"Chips de pommes de terre, à l'ancienne";34;44;879;"1";12,74 €;100;0;0;0
880;"Chips de pommes de terre et assimilés, allégées en matière grasse";34;44;880;"1";12,86 €;100;0;0;0
881;"Rostis ou Galette de pomme de terre";34;44;881;"1";15,22 €;100;0;0;0
882;"Pomme de terre duchesse, surgelée, crue";34;44;882;"1";15,41 €;100;0;0;0
883;"Pomme de terre rissolée, surgelée, crue";34;44;883;"1";18,46 €;100;0;0;0
884;"Frites de pommes de terre, surgelées, pour cuisson rôtie/ au four";34;44;884;"1";11,60 €;100;0;0;0
885;"Frites de pommes de terre, surgelées, pour cuisson micro-ondes";34;44;885;"1";16,17 €;100;0;0;0
886;"Frites de pommes de terre, surgelées, pour cuisson en friteuse";34;44;886;"1";16,17 €;100;0;0;0
887;"Pomme de terre, purée (aliment moyen)";34;44;887;"1";10,84 €;100;0;0;0
888;"Pomme de terre, cuite (aliment moyen)";34;44;888;"1";8,72 €;100;0;0;0
889;"Patate douce, crue";34;44;889;"1";9,49 €;100;0;0;0
890;"Patate douce, cuite";34;44;890;"1";11,39 €;100;0;0;0
891;"Patate douce, purée, cuisinée à la crème";34;44;891;"1";11,39 €;100;0;0;0
892;"Topinambour, cuit";34;44;892;"1";10,06 €;100;0;0;0
893;"Topinambour, cru";34;44;893;"1";11,51 €;100;0;0;0
894;"Banane plantain, cuite";34;44;894;"1";11,16 €;100;0;0;0
895;"Taro, tubercule, cru";34;44;895;"1";9,83 €;100;0;0;0
896;"Taro, tubercule, cuit";34;44;896;"1";8,95 €;100;0;0;0
897;"Igname, épluchée, crue";34;44;897;"1";10,25 €;100;0;0;0
898;"Igname, épluchée, bouillie/cuite à l'eau";34;44;898;"1";8,72 €;100;0;0;0
899;"Manioc, racine crue";34;44;899;"1";11,51 €;100;0;0;0
900;"Manioc, racine cuite";34;44;900;"1";11,39 €;100;0;0;0
901;"Fruit à pain, cru";34;44;901;"1";11,51 €;100;0;0;0
902;"Fève, cuite";34;33;21205;"1";13,87 €;100;0;0;0
903;"Haricot blanc, cuit";34;33;21206;"1";14,06 €;100;0;0;0
904;"Haricot rouge, cuit";34;33;21207;"1";17,11 €;100;0;0;0
905;"Lentille, cuite";34;33;21208;"1";10,25 €;100;0;0;0
906;"Pois cassé, cuit";34;33;21209;"1";14,82 €;100;0;0;0
907;"Pois chiche, cuit";34;33;21210;"1";14,82 €;100;0;0;0
908;"Haricot flageolet, appertisé, égouttés";34;33;21211;"1";9,49 €;100;0;0;0
909;"Lentille, cuisinée, appertisée, égouttée";34;33;21212;"1";7,92 €;100;0;0;0
910;"Haricot blanc, appertisé, égoutté";34;33;21213;"1";8,69 €;100;0;0;0
911;"Haricot flageolet, cuit";34;33;21214;"1";10,59 €;100;0;0;0
912;"Haricot rouge, appertisé, égoutté";34;33;21215;"1";10,59 €;100;0;0;0
913;"Haricot mungo, cuit";34;33;21216;"1";9,26 €;100;0;0;0
914;"Pois chiche, appertisé, égoutté";34;33;21217;"1";10,71 €;100;0;0;0
915;"Haricot flageolet, vert, cuit";34;33;21218;"1";10,36 €;100;0;0;0
916;"Fève, pelée, surgelée, cuite à l'eau";34;33;21219;"1";9,03 €;100;0;0;0
917;"Fève, surgelée, cuite à l'eau";34;33;21220;"1";8,15 €;100;0;0;0
918;"Lentille verte, cuite";34;33;21221;"1";9,45 €;100;0;0;0
919;"Lentille blonde, cuite";34;33;21222;"1";7,92 €;100;0;0;0
920;"Lentille corail, cuite";34;33;21223;"1";10,71 €;100;0;0;0
921;"Légume sec, cuit (aliment moyen)";34;33;21224;"1";10,59 €;100;0;0;0
922;"Fève à écosser, fraîche";34;33;21225;"1";10,71 €;100;0;0;0
923;"Lentille, germée";34;33;21226;"1";13,07 €;100;0;0;0
924;"Lupin, graine crue";34;33;21227;"1";13,26 €;100;0;0;0
925;"Fève, fraîche, surgelée";34;33;21228;"1";16,31 €;100;0;0;0
926;"Haricot flageolet, surgelé";34;33;21229;"1";9,45 €;100;0;0;0
927;"Fève, pelée, surgelée, crue";34;33;21230;"1";14,02 €;100;0;0;0
928;"Haricot blanc, sec";34;33;21231;"1";14,02 €;100;0;0;0
929;"Lentille, sèche";34;33;21232;"1";8,69 €;100;0;0;0
930;"Pois cassé, sec";34;33;21233;"1";9,62 €;100;0;0;0
931;"Pois chiche, sec";34;33;21234;"1";10,39 €;100;0;0;0
932;"Fève, sèche";34;33;21235;"1";12,29 €;100;0;0;0
933;"Haricot rouge, sec";34;33;21236;"1";12,29 €;100;0;0;0
934;"Haricot mungo, sec";34;33;21237;"1";10,96 €;100;0;0;0
935;"Lentille corail, sèche";34;33;21238;"1";12,41 €;100;0;0;0
936;"Haricot flageolet, vert, sec";34;33;21239;"1";12,06 €;100;0;0;0
937;"Lentille verte, sèche";34;33;21240;"1";10,73 €;100;0;0;0
938;"Lentille blonde, sèche";34;33;21241;"1";9,85 €;100;0;0;0
939;"Abricot, dénoyauté, cru";34;22;21340;"1";11,15 €;100;0;0;0
940;"Ananas, pulpe, cru";34;22;21341;"1";9,62 €;100;0;0;0
941;"Banane, pulpe, crue";34;22;21342;"1";12,41 €;100;0;0;0
942;"Cassis, cru";34;22;21343;"1";12,29 €;100;0;0;0
943;"Cerise, dénoyautée, crue";34;22;21344;"1";12,41 €;100;0;0;0
944;"Citron, pulpe, cru";34;22;21345;"1";14,77 €;100;0;0;0
945;"Coing, cru";34;22;21346;"1";14,96 €;100;0;0;0
946;"Figue, crue";34;22;21347;"1";18,01 €;100;0;0;0
947;"Fraise, crue";34;22;21348;"1";11,15 €;100;0;0;0
948;"Framboise, crue";34;22;21349;"1";15,72 €;100;0;0;0
949;"Fruit de la passion ou maracudja, pulpe et pépins, cru";34;22;21350;"1";15,72 €;100;0;0;0
950;"Grenade, pulpe et pépins, crue";34;22;21351;"1";10,39 €;100;0;0;0
951;"Groseille, crue";34;22;21352;"1";8,82 €;100;0;0;0
952;"Groseille à maquereau, crue";34;22;21353;"1";9,59 €;100;0;0;0
953;"Kiwi, pulpe et graines, cru";34;22;21354;"1";11,49 €;100;0;0;0
954;"Litchi, pulpe, cru";34;22;21355;"1";11,49 €;100;0;0;0
955;"Mangue, pulpe, crue";34;22;21356;"1";10,16 €;100;0;0;0
956;"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru";34;22;21357;"1";11,61 €;100;0;0;0
957;"Myrtille, crue";34;22;21358;"1";11,26 €;100;0;0;0
958;"Mûre (de ronce), crue";34;22;21359;"1";9,93 €;100;0;0;0
959;"Nectarine ou brugnon, pulpe et peau, crue";34;22;21360;"1";9,05 €;100;0;0;0
960;"Orange, pulpe, crue";34;22;21361;"1";10,35 €;100;0;0;0
961;"Papaye, pulpe, crue";34;22;21362;"1";8,82 €;100;0;0;0
962;"Pastèque, pulpe, crue";34;22;21363;"1";11,61 €;100;0;0;0
963;"Poire, pulpe et peau, crue";34;22;21364;"1";11,49 €;100;0;0;0
964;"Pomme, pulpe et peau, crue";34;22;21365;"1";11,61 €;100;0;0;0
965;"Pomelo (dit Pamplemousse), pulpe, cru";34;22;21366;"1";13,97 €;100;0;0;0
966;"Prune Reine-Claude, crue";34;22;21367;"1";14,16 €;100;0;0;0
967;"Pêche, pulpe et peau, crue";34;22;21368;"1";17,21 €;100;0;0;0
968;"Raisin blanc, à gros grain (type Italia ou Dattier), cru";34;22;21369;"1";10,35 €;100;0;0;0
969;"Raisin noir, cru";34;22;21370;"1";14,92 €;100;0;0;0
970;"Rhubarbe, tige, crue";34;22;21371;"1";14,92 €;100;0;0;0
971;"Pomme, pulpe, crue";34;22;21372;"1";9,59 €;100;0;0;0
972;"Carambole, pulpe, crue";34;22;21373;"1";6,62 €;100;0;0;0
973;"Figue de Barbarie, pulpe et graines, crue";34;22;21374;"1";7,39 €;100;0;0;0
974;"Kaki, pulpe, cru";34;22;21375;"1";9,29 €;100;0;0;0
975;"Citron vert ou Lime, pulpe, cru";34;22;21376;"1";9,29 €;100;0;0;0
976;"Mûre noire (du mûrier), crue";34;22;21377;"1";7,96 €;100;0;0;0
977;"Tamarin, fruit immature, pulpe, cru";34;22;21378;"1";9,41 €;100;0;0;0
978;"Clémentine, pulpe, crue";34;22;21379;"1";9,06 €;100;0;0;0
979;"Goyave, pulpe, crue";34;22;21380;"1";7,73 €;100;0;0;0
980;"Pomme Canada, pulpe, crue";34;22;21381;"1";6,85 €;100;0;0;0
981;"Mandarine, pulpe, crue";34;22;21382;"1";8,15 €;100;0;0;0
982;"Prune, crue";34;22;21383;"1";6,62 €;100;0;0;0
983;"Poire, pulpe, crue";34;22;21384;"1";9,41 €;100;0;0;0
984;"Griotte, crue";34;22;21385;"1";9,29 €;100;0;0;0
985;"Raisin, cru";34;22;21386;"1";9,41 €;100;0;0;0
986;"Canneberge ou cranberry, crue";34;22;21387;"1";11,77 €;100;0;0;0
987;"Citron, zeste, cru";34;22;21388;"1";11,96 €;100;0;0;0
988;"Sureau, baie, crue";34;22;21389;"1";15,01 €;100;0;0;0
989;"Myrtille, surgelée, crue";34;22;21390;"1";8,15 €;100;0;0;0
990;"Salade de fruits, crue";34;22;21391;"1";12,72 €;100;0;0;0
991;"Framboise, surgelée, crue";34;22;21392;"1";12,72 €;100;0;0;0
992;"Mûre (de ronce), surgelée, crue";34;22;21393;"1";7,39 €;100;0;0;0
993;"Pomelo (dit Pamplemousse) jaune, pulpe, cru";34;22;21394;"1";5,82 €;100;0;0;0
994;"Pomelo (dit Pamplemousse) rose, pulpe, cru";34;22;21395;"1";6,59 €;100;0;0;0
995;"Kumquat, sans pépin, cru";34;22;21396;"1";8,49 €;100;0;0;0
996;"Pamplemousse chinois, pulpe, cru";34;22;21397;"1";8,49 €;100;0;0;0
997;"Pomme Golden, pulpe et peau, crue";34;22;21398;"1";7,16 €;100;0;0;0
998;"Melon miel ou melon honeydew, pulpe, cru";34;22;21399;"1";8,61 €;100;0;0;0
999;"Fruits rouges, crus (framboises, fraises, groseilles, cassis)";34;22;21400;"1";8,26 €;100;0;0;0
1000;"Compote de pomme";34;22;21401;"1";6,93 €;100;0;0;0
1001;"Rhubarbe, tige, cuite, sucrée";34;22;21402;"1";6,05 €;100;0;0;0
1002;"Compote, tout type de fruits";34;22;21403;"1";7,35 €;100;0;0;0
1003;"Compote, tout type de fruits, allégée en sucres";34;22;21404;"1";5,82 €;100;0;0;0
1004;"Compote, tout type de fruits, allégée en sucres, rayon frais";34;22;21405;"1";8,61 €;100;0;0;0
1005;"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)";34;22;21406;"1";8,49 €;100;0;0;0
1006;"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";34;22;21407;"1";8,61 €;100;0;0;0
1007;"Pomme, pulpe, rôtie/cuite au four";34;22;21408;"1";10,97 €;100;0;0;0
1008;"Pomme, pulpe, bouillie/cuite à l'eau";34;22;21409;"1";11,16 €;100;0;0;0
1009;"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté";34;22;21410;"1";14,21 €;100;0;0;0
1010;"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté";34;22;21411;"1";7,35 €;100;0;0;0
1011;"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté";34;22;21412;"1";11,92 €;100;0;0;0
1012;"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté";34;22;21413;"1";11,92 €;100;0;0;0
1013;"Abricot au sirop léger, appertisé, égoutté";34;22;21414;"1";6,59 €;100;0;0;0
1014;"Abricot au sirop léger, appertisé, non égoutté";34;22;21415;"1";4,47 €;100;0;0;0
1015;"Abricot au sirop, appertisé, égoutté";34;22;21416;"1";5,24 €;100;0;0;0
1016;"Abricot au sirop, appertisé, non égoutté";34;22;21417;"1";7,14 €;100;0;0;0
1017;"Ananas au sirop et jus d'ananas, appertisé, égoutté";34;22;21418;"1";7,14 €;100;0;0;0
1018;"Ananas au sirop et jus d'ananas, appertisé, non égoutté";34;22;21419;"1";5,81 €;100;0;0;0
1019;"Ananas au sirop léger, appertisé, égoutté";34;22;21420;"1";7,26 €;100;0;0;0
1020;"Ananas au sirop léger, appertisé, non égoutté";34;22;21421;"1";6,91 €;100;0;0;0
1021;"Pêche au sirop léger, appertisée, égouttée";34;22;21422;"1";5,58 €;100;0;0;0
1022;"Pêche au sirop léger, appertisée, non égouttée";34;22;21423;"1";4,70 €;100;0;0;0
1023;"Poire au sirop léger, appertisée, non égouttée";34;22;21424;"1";6,00 €;100;0;0;0
1024;"Abricot, dénoyauté, sec";34;22;21425;"1";4,47 €;100;0;0;0
1025;"Datte, pulpe et peau, sèche";34;22;21426;"1";7,26 €;100;0;0;0
1026;"Figue, sèche";34;22;21427;"1";7,14 €;100;0;0;0
1027;"Pruneau, sec";34;22;21428;"1";7,26 €;100;0;0;0
1028;"Raisin, sec";34;22;21429;"1";9,62 €;100;0;0;0
1029;"Banane, pulpe, sèche";34;22;21430;"1";9,81 €;100;0;0;0
1030;"Pomme, sèche";34;22;21431;"1";12,86 €;100;0;0;0
1031;"Pêche, sèche";34;22;21432;"1";6,00 €;100;0;0;0
1032;"Farine de châtaigne";34;23;1032;"1";10,57 €;100;0;0;0
1033;"Amande (avec peau)";34;23;1033;"1";10,57 €;100;0;0;0
1034;"Cacahuète ou Arachide";34;23;1034;"1";5,24 €;100;0;0;0
1035;"Cacahuète, grillée, salée";34;23;1035;"1";3,67 €;100;0;0;0
1036;"Noisette";34;23;1036;"1";4,44 €;100;0;0;0
1037;"Noix, séchée, cerneaux";34;23;1037;"1";6,34 €;100;0;0;0
1038;"Noix de coco, amande mûre, fraîche";34;23;1038;"1";6,34 €;100;0;0;0
1039;"Noix de coco, amande, sèche";34;23;1039;"1";5,01 €;100;0;0;0
1040;"Noix du Brésil";34;23;1040;"1";6,46 €;100;0;0;0
1041;"Pistache, grillée, salée";34;23;1041;"1";6,11 €;100;0;0;0
1042;"Sésame, graine";34;23;1042;"1";4,78 €;100;0;0;0
1043;"Tournesol, graine";34;23;1043;"1";3,90 €;100;0;0;0
1044;"Crème de marrons";34;23;1044;"1";5,20 €;100;0;0;0
1045;"Noix de coco, amande immature, fraîche";34;23;1045;"1";3,67 €;100;0;0;0
1046;"Crème de marrons vanillée, appertisée";34;23;1046;"1";6,46 €;100;0;0;0
1047;"Mélange apéritif de graines salées et raisins secs";34;23;1047;"1";6,34 €;100;0;0;0
1048;"Noix de cajou, grillée, salée";34;23;1048;"1";6,46 €;100;0;0;0
1049;"Châtaigne, bouillie/cuite à l'eau";34;23;1049;"1";8,82 €;100;0;0;0
1050;"Châtaigne, grillée";34;23;1050;"1";9,01 €;100;0;0;0
1051;"Noix, fraîche";34;23;1051;"1";12,06 €;100;0;0;0
1052;"Châtaigne, crue";34;23;1052;"1";5,20 €;100;0;0;0
1053;"Pignon de pin";34;23;1053;"1";9,77 €;100;0;0;0
1054;"Noix de pécan";34;23;1054;"1";9,77 €;100;0;0;0
1055;"Noix de macadamia";34;23;1055;"1";4,44 €;100;0;0;0
1056;"Cucurbitacées, graine";34;23;1056;"1";5,37 €;100;0;0;0
1057;"Luzerne, graine germée";34;23;1057;"1";6,14 €;100;0;0;0
1058;"Luzerne, graine";34;23;1058;"1";5,34 €;100;0;0;0
1059;"Noisette grillée";34;23;1059;"1";10,67 €;100;0;0;0
1060;"Lin, graine";34;23;1060;"1";10,67 €;100;0;0;0
1061;"Sésame, graine décortiquée";34;23;1061;"1";6,10 €;100;0;0;0
1062;"Cacahuète, grillée";34;23;1062;"1";12,96 €;100;0;0;0
1063;"Sésame, grillé, graine décortiquée";34;23;1063;"1";9,91 €;100;0;0;0
1064;"Châtaigne ou Marron, appertisé";34;23;1064;"1";9,72 €;100;0;0;0
1065;"Amande, mondée, émondée ou blanchie";34;23;1065;"1";7,36 €;100;0;0;0
1066;"Amande, grillée, salée";34;23;1066;"1";7,24 €;100;0;0;0
1067;"Noix de macadamia, grillée, salée";34;23;1067;"1";7,36 €;100;0;0;0
1068;"Pistache, grillée";34;23;1068;"1";4,57 €;100;0;0;0
1069;"Tournesol, graine, grillé, salé";34;23;1069;"1";6,10 €;100;0;0;0
1070;"Noix de pécan, salées";34;23;1070;"1";4,80 €;100;0;0;0
1071;"Chia, graine, séchée";34;23;1071;"1";5,68 €;100;0;0;0
1072;"Mélange apéritif de graines (non salées) et fruits séchés";34;23;1072;"1";7,01 €;100;0;0;0
1073;"Mélange apéritif de graines (non salées) et raisins secs";34;23;1073;"1";7,36 €;100;0;0;0
1074;"Noisette grillée, salée";34;23;1074;"1";5,91 €;100;0;0;0
1075;"Lin, brun, graine";34;23;1075;"1";7,24 €;100;0;0;0
1076;"Pâte d'amande, préemballée";34;23;1076;"1";7,24 €;100;0;0;0
1077;"Beurre de cacahuète ou Pâte d'arachide";34;23;1077;"1";5,34 €;100;0;0;0
1078;"Tahin ou Purée de sésame";34;23;1078;"1";4,57 €;100;0;0;0
1079;"Arachide, bouillie/cuite à l'eau, salée";34;23;1079;"1";8,04 €;100;0;0;0
1080;"Soja, graine entière";34;23;1080;"1";8,04 €;100;0;0;0
1081;"Blé dur précuit, grains entiers, cuit, non salé";34;39;31183;"1";6,71 €;100;0;0;0
1082;"Nouilles asiatiques cuites, aromatisées";34;39;31184;"1";8,16 €;100;0;0;0
1083;"Nouilles asiatiques cuites, nature, non salées";34;39;31185;"1";7,81 €;100;0;0;0
1084;"Riz complet, cuit, non salé";34;39;31186;"1";6,48 €;100;0;0;0
1085;"Riz blanc, cuit, non salé";34;39;31187;"1";5,60 €;100;0;0;0
1086;"Riz blanc étuvé, cuit, non salé";34;39;31188;"1";6,90 €;100;0;0;0
1087;"Riz rouge, cuit, non salé";34;39;31189;"1";5,37 €;100;0;0;0
1088;"Riz sauvage, cuit, non salé";34;39;31190;"1";8,16 €;100;0;0;0
1089;"Orge perlée, bouilli/cuite à l'eau, non salée";34;39;31191;"1";8,04 €;100;0;0;0
1090;"Mil, cuit, non salé";34;39;31192;"1";8,16 €;100;0;0;0
1091;"Quinoa, bouilli/cuit à l'eau, non salé";34;39;31193;"1";10,52 €;100;0;0;0
1092;"Polenta ou semoule de maïs, cuite, non salée";34;39;31194;"1";10,71 €;100;0;0;0
1093;"Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée";34;39;31195;"1";13,76 €;100;0;0;0
1094;"Boulgour de blé, cuit, non salé";34;39;31196;"1";6,90 €;100;0;0;0
1095;"Pâtes sèches standard, cuites, non salées";34;39;31197;"1";11,47 €;100;0;0;0
1096;"Pâtes fraîches, aux œufs, cuites, non salées";34;39;31198;"1";11,47 €;100;0;0;0
1097;"Pâtes sèches, aux œufs, cuites, non salées";34;39;31199;"1";6,14 €;100;0;0;0
1098;"Pâtes sèches, sans gluten, cuites, non salées";34;39;31200;"1";4,57 €;100;0;0;0
1099;"Pâtes sèches, au blé complet, cuites, non salées";34;39;31201;"1";5,34 €;100;0;0;0
1100;"Vermicelle de riz, cuite, non salée";34;39;31202;"1";7,24 €;100;0;0;0
1101;"Vermicelle de soja, cuite, non salée";34;39;31203;"1";7,24 €;100;0;0;0
1102;"Gnocchi à la semoule, cuit";34;39;31204;"1";5,91 €;100;0;0;0
1103;"Gnocchi à la pomme de terre, cuit";34;39;31205;"1";7,36 €;100;0;0;0
1104;"Gnocchi, cuit (aliment moyen)";34;39;31206;"1";7,01 €;100;0;0;0
1105;"Frik (blé dur immature concassé), cuit, non salé";34;39;31207;"1";5,68 €;100;0;0;0
1106;"Épeautre, cru";34;39;31208;"1";4,80 €;100;0;0;0
1107;"Blé de Khorasan, cru";34;39;31209;"1";6,10 €;100;0;0;0
1108;"Blé tendre entier ou froment, cru";34;39;31210;"1";4,57 €;100;0;0;0
1109;"Blé germé, cru";34;39;31211;"1";7,36 €;100;0;0;0
1110;"Blé dur entier, cru";34;39;31212;"1";7,24 €;100;0;0;0
1111;"Blé dur précuit, entier, cru";34;39;31213;"1";7,36 €;100;0;0;0
1112;"Riz blanc, cru";34;39;31214;"1";9,72 €;100;0;0;0
1113;"Riz blanc étuvé, cru";34;39;31215;"1";9,91 €;100;0;0;0
1114;"Riz complet, cru";34;39;31216;"1";12,96 €;100;0;0;0
1115;"Riz sauvage, cru";34;39;31217;"1";6,10 €;100;0;0;0
1116;"Riz rouge, cru";34;39;31218;"1";10,67 €;100;0;0;0
1117;"Riz thaï ou basmati, cru";34;39;31219;"1";10,67 €;100;0;0;0
1118;"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru";34;39;31220;"1";5,34 €;100;0;0;0
1119;"Maïs entier, cru";34;39;31221;"1";6,09 €;100;0;0;0
1120;"Avoine, crue";34;39;31222;"1";3,12 €;100;0;0;0
1121;"Orge entière, crue";34;39;31223;"1";3,89 €;100;0;0;0
1122;"Orge perlée, crue";34;39;31224;"1";5,79 €;100;0;0;0
1123;"Mil entier, cru";34;39;31225;"1";5,79 €;100;0;0;0
1124;"Quinoa, cru";34;39;31226;"1";4,46 €;100;0;0;0
1125;"Amarante, crue";34;39;31227;"1";5,91 €;100;0;0;0
1126;"Sorgho entier, cru";34;39;31228;"1";5,56 €;100;0;0;0
1127;"Sarrasin entier, cru";34;39;31229;"1";4,23 €;100;0;0;0
1128;"Seigle entier, cru";34;39;31230;"1";3,35 €;100;0;0;0
1129;"Semoule de blé dur, crue";34;39;31231;"1";4,65 €;100;0;0;0
1130;"Mélange de céréales et légumineuses, cru";34;39;31232;"1";3,12 €;100;0;0;0
1131;"Polenta ou semoule de maïs, précuite, sèche";34;39;31233;"1";5,91 €;100;0;0;0
1132;"Couscous (semoule de blé dur roulée précuite à la vapeur), crue";34;39;31234;"1";5,79 €;100;0;0;0
1133;"Boulgour de blé, cru";34;39;31235;"1";5,91 €;100;0;0;0
1134;"Pâtes sèches standard, crues";34;39;31236;"1";8,27 €;100;0;0;0
1135;"Pâtes fraîches, aux œufs, crues";34;39;31237;"1";8,46 €;100;0;0;0
1136;"Pâtes sèches, aux œufs, crues";34;39;31238;"1";11,51 €;100;0;0;0
1137;"Nouilles asiatiques aromatisées, déshydratées";34;39;31239;"1";4,65 €;100;0;0;0
