"NoTicket";"Refprod";"PrixUnit";"Qte";"Remise%"
21600;38;200,93 €;4;0,00
21600;44;14,79 €;4;0,00
21601;10;23,63 €;4;0,05
21601;56;28,97 €;3;0,00
21601;60;25,92 €;4;0,05
21602;24;3,35 €;4;0,00
21602;53;25,00 €;4;0,00
21603;35;13,72 €;4;0,00
21603;41;7,32 €;4;0,00
21603;68;9,45 €;4;0,00
21604;1;13,72 €;3;0,20
21604;8;30,49 €;3;0,00
21604;30;19,67 €;3;0,20
21604;40;14,03 €;3;0,20
21605;17;29,73 €;3;0,10
21605;20;61,74 €;4;0,10
21605;37;19,82 €;4;0,10
21605;41;7,32 €;4;0,10
21606;10;23,63 €;4;0,00
21606;30;19,67 €;4;0,00
21606;43;35,06 €;4;0,00
21606;54;5,64 €;4;0,00
21607;36;14,48 €;3;0,00
21607;40;14,03 €;4;0,10
21608;1;13,72 €;4;0,15
21608;13;4,57 €;4;0,00
21608;56;28,97 €;3;0,15
21609;4;16,77 €;4;0,10
21609;36;14,48 €;3;0,10
21610;11;16,01 €;4;0,00
21610;33;1,83 €;4;0,20
21610;72;26,53 €;4;0,00
21611;55;18,29 €;4;0,00
21611;68;9,45 €;3;0,00
21611;69;27,44 €;4;0,00
21612;17;29,73 €;3;0,00
21612;43;35,06 €;3;0,00
21612;61;21,65 €;3;0,00
21612;76;13,72 €;4;0,00
21613;59;41,92 €;4;0,00
21614;30;19,67 €;4;0,00
21614;66;12,96 €;3;0,00
21615;4;16,77 €;4;0,05
21615;72;26,53 €;3;0,00
21615;73;11,43 €;3;0,05
21616;30;19,67 €;4;0,00
21616;40;14,03 €;4;0,20
21616;54;5,64 €;4;0,20
21617;11;16,01 €;4;0,10
21617;40;14,03 €;4;0,10
21617;57;14,94 €;4;0,10
21617;59;41,92 €;4;0,10
21618;12;28,97 €;4;0,25
21618;31;9,45 €;3;0,00
21618;33;1,83 €;3;0,00
21618;60;25,92 €;3;0,25
21619;31;9,45 €;3;0,00
21619;51;40,40 €;4;0,00
21619;58;10,06 €;3;0,00
21619;72;26,53 €;3;0,00
21619;73;11,43 €;4;0,00
21620;70;11,43 €;4;0,00
21620;72;26,53 €;3;0,00
21621;13;4,57 €;4;0,00
21621;21;7,62 €;4;0,00
21621;33;1,83 €;4;0,00
21621;49;15,24 €;4;0,00
21622;3;7,62 €;4;0,00
21622;26;23,78 €;3;0,00
21622;38;200,93 €;3;0,00
21622;68;9,45 €;3;0,00
21623;24;3,35 €;3;0,10
21623;38;200,93 €;4;0,10
21623;65;16,01 €;3;0,10
21623;71;16,46 €;4;0,10
21624;11;16,01 €;4;0,05
21624;54;5,64 €;3;0,05
21625;12;28,97 €;3;0,15
21625;23;6,86 €;4;0,15
21626;28;34,76 €;4;0,00
21626;67;10,67 €;4;0,00
21627;11;16,01 €;4;0,00
21628;7;22,87 €;4;0,00
21628;35;13,72 €;3;0,00
21628;62;37,50 €;3;0,00
21629;32;24,39 €;3;0,15
21629;36;14,48 €;4;0,00
21630;34;10,67 €;4;0,25
21630;41;7,32 €;4;0,00
21631;31;9,45 €;4;0,15
21631;45;7,32 €;4;0,15
21631;51;40,40 €;3;0,15
21632;17;29,73 €;4;0,10
21632;19;7,01 €;4;0,00
21632;21;7,62 €;4;0,10
21632;61;21,65 €;4;0,10
21633;16;13,26 €;3;0,15
21633;35;13,72 €;3;0,15
21633;44;14,79 €;3;0,00
21634;69;27,44 €;4;0,00
21634;75;5,95 €;3;0,00
21635;11;16,01 €;4;0,00
21635;16;13,26 €;4;0,00
21635;22;16,01 €;3;0,00
21635;31;9,45 €;3;0,00
21635;35;13,72 €;4;0,00
21636;16;13,26 €;3;0,05
21636;23;6,86 €;3;0,05
21636;62;37,50 €;3;0,05
21636;77;9,91 €;4;0,05
21637;14;17,68 €;3;0,20
21637;19;7,01 €;3;0,20
21637;24;3,35 €;4;0,20
21637;51;40,40 €;3;0,20
21637;56;28,97 €;3;0,20
21638;72;26,53 €;3;0,00
21639;64;25,31 €;3;0,00
21639;75;5,95 €;3;0,00
21640;47;7,32 €;3;0,00
21640;51;40,40 €;3;0,00
21640;52;5,34 €;3;0,00
21640;53;25,00 €;4;0,00
21640;73;11,43 €;4;0,00
21641;41;7,32 €;4;0,05
21641;55;18,29 €;4;0,05
21642;30;19,67 €;3;0,00
21642;62;37,50 €;4;0,25
21643;44;14,79 €;4;0,00
21643;51;40,40 €;4;0,00
21644;33;1,83 €;3;0,10
21644;62;37,50 €;4;0,10
21645;36;14,48 €;3;0,00
21645;52;5,34 €;4;0,00
21646;17;29,73 €;4;0,05
21646;31;9,45 €;4;0,05
21646;55;18,29 €;3;0,05
21647;24;3,35 €;3;0,10
21647;64;25,31 €;4;0,10
21648;11;16,01 €;3;0,15
21648;18;47,56 €;4;0,15
21648;76;13,72 €;4;0,00
21649;31;9,45 €;4;0,20
21649;51;40,40 €;4;0,00
21649;59;41,92 €;3;0,20
21650;2;14,48 €;1;0,00
21650;10;23,63 €;4;0,00
21650;44;14,83 €;4;0,00
21650;47;7,24 €;1;0,00
21650;70;11,43 €;1;0,00
21650;78;16,77 €;3;0,00
21650;598;7,24 €;1;0,00
21651;31;9,45 €;3;0,20
21651;76;13,72 €;3;0,00
21652;11;16,01 €;4;0,05
21652;56;28,97 €;4;0,05
21653;14;17,68 €;4;0,15
21653;42;10,67 €;3;0,15
21654;16;13,26 €;4;0,10
21654;32;24,39 €;4;0,10
21654;40;14,03 €;4;0,00
21654;75;5,95 €;4;0,10
21655;17;29,73 €;4;0,00
21655;34;10,67 €;3;0,00
21655;53;25,00 €;3;0,00
21656;33;1,83 €;4;0,00
21656;40;14,03 €;4;0,00
21656;62;37,50 €;4;0,00
21656;64;25,31 €;4;0,00
21657;59;41,92 €;4;0,00
21657;63;33,54 €;4;0,00
21657;72;26,53 €;3;0,00
21657;76;13,72 €;4;0,00
21658;1;13,72 €;4;0,00
21658;31;9,45 €;3;0,00
21658;44;14,79 €;3;0,00
21659;39;13,72 €;4;0,00
21659;75;5,95 €;3;0,00
21659;77;9,91 €;4;0,00
21660;35;13,72 €;3;0,00
21660;57;14,94 €;4;0,00
21661;15;11,89 €;4;0,00
21661;75;5,95 €;3;0,00
21662;14;17,68 €;4;0,05
21662;41;7,32 €;4;0,05
21662;65;16,01 €;3;0,05
21663;75;5,95 €;4;0,20
21664;57;14,94 €;4;0,00
21664;76;13,72 €;4;0,00
21665;29;94,37 €;4;0,00
21665;60;25,92 €;3;0,15
21665;69;27,44 €;4;0,15
21666;31;9,45 €;4;0,05
21667;47;7,32 €;4;0,00
21668;52;5,34 €;4;0,15
21669;26;23,78 €;4;0,00
21669;35;13,72 €;3;0,00
21669;77;9,91 €;3;0,00
21670;18;47,56 €;3;0,20
21670;42;10,67 €;4;0,20
21671;35;13,72 €;4;0,00
21672;1;13,72 €;3;0,00
21672;77;9,91 €;4;0,05
21673;3;7,62 €;4;0,00
21673;7;22,87 €;4;0,00
21673;54;5,64 €;4;0,00
21674;15;11,89 €;3;0,05
21674;26;23,78 €;4;0,05
21675;20;61,74 €;3;0,20
21675;69;27,44 €;3;0,20
21675;76;13,72 €;4;0,20
21676;52;5,34 €;3;0,00
21676;58;10,06 €;3;0,00
21677;35;13,72 €;3;0,25
21677;61;21,65 €;4;0,25
21677;69;27,44 €;4;0,25
21678;56;28,97 €;4;0,20
21678;63;33,54 €;3;0,20
21678;75;5,95 €;3;0,20
21679;24;3,35 €;3;0,20
21679;57;14,94 €;3;0,00
21679;65;16,01 €;4;0,20
21680;27;33,54 €;4;0,00
21680;71;16,46 €;4;0,00
21681;62;37,50 €;4;0,00
21682;54;5,64 €;4;0,00
21682;73;11,43 €;3;0,00
21683;13;4,57 €;4;0,00
21683;59;41,92 €;3;0,00
21684;77;9,91 €;4;0,25
21685;22;16,01 €;3;0,00
21685;49;15,24 €;3;0,05
21686;48;9,76 €;4;0,10
21686;76;13,72 €;4;0,10
21687;16;13,26 €;3;0,05
21687;59;41,92 €;3;0,05
21687;60;25,92 €;4;0,05
21687;71;16,46 €;4;0,05
21688;4;16,77 €;3;0,20
21688;55;18,29 €;3;0,20
21688;62;37,50 €;4;0,20
21689;7;22,87 €;3;0,00
21689;17;29,73 €;4;0,00
21689;33;1,83 €;4;0,00
21689;40;14,03 €;3;0,00
21689;72;26,53 €;4;0,00
21690;56;28,97 €;3;0,00
21691;1;13,72 €;4;0,00
21691;10;23,63 €;4;0,00
21691;21;7,62 €;4;0,00
21692;36;14,48 €;3;0,25
21693;1;13,72 €;4;0,00
21693;2;14,48 €;4;0,00
21693;60;25,92 €;4;0,00
21694;10;23,63 €;4;0,00
21694;36;14,48 €;4;0,00
21694;49;15,24 €;4;0,00
21694;60;25,92 €;3;0,00
21694;76;13,72 €;4;0,00
21695;13;4,57 €;4;0,10
21695;75;5,95 €;3;0,00
21696;11;16,01 €;4;0,00
21696;21;7,62 €;4;0,00
21696;39;13,72 €;4;0,00
21697;55;18,29 €;4;0,00
21698;38;200,93 €;4;0,05
21698;56;28,97 €;4;0,00
21698;70;11,43 €;4;0,05
21698;71;16,46 €;4;0,05
21699;59;41,92 €;3;0,15
21700;6;19,06 €;4;0,00
21700;56;28,97 €;3;0,00
21700;68;9,45 €;4;0,00
21701;21;7,62 €;3;0,00
21701;22;16,01 €;3;0,00
21702;24;3,35 €;4;0,00
21702;52;5,34 €;4;0,00
21703;19;7,01 €;4;0,00
21703;23;6,86 €;4;0,00
21703;70;11,43 €;3;0,00
21703;71;16,46 €;4;0,00
21704;2;14,48 €;3;0,00
21704;68;9,45 €;4;0,20
21705;14;17,68 €;3;0,00
21705;19;7,01 €;4;0,10
21705;21;7,62 €;3;0,10
21705;24;3,35 €;4;0,00
21705;35;13,72 €;3;0,10
21706;28;34,76 €;4;0,00
21706;29;94,37 €;4;0,00
21706;44;14,79 €;4;0,00
21707;14;17,68 €;4;0,00
21707;42;10,67 €;4;0,00
21707;60;25,92 €;4;0,00
21708;53;25,00 €;4;0,00
21708;60;25,92 €;3;0,00
21708;71;16,46 €;3;0,00
21709;62;37,50 €;4;0,00
21709;73;11,43 €;3;0,15
21710;1;13,72 €;3;0,00
21711;29;94,37 €;3;0,00
21711;64;25,31 €;4;0,00
21712;55;18,29 €;4;0,05
21712;76;13,72 €;3;0,00
21713;75;5,95 €;4;0,10
21714;2;14,48 €;3;0,05
21714;33;1,83 €;3;0,05
21715;12;28,97 €;3;0,15
21715;13;4,57 €;4;0,15
21715;26;23,78 €;3;0,15
21715;62;37,50 €;4;0,15
21716;7;22,87 €;3;0,00
21716;18;47,56 €;4;0,00
21716;51;40,40 €;4;0,00
21716;75;5,95 €;4;0,00
21717;4;16,77 €;4;0,10
21717;5;16,31 €;4;0,10
21717;22;16,01 €;3;0,00
21718;4;16,77 €;3;0,00
21718;58;10,06 €;4;0,00
21719;11;16,01 €;4;0,00
21719;50;12,35 €;3;0,05
21719;56;28,97 €;4;0,05
21720;45;7,32 €;3;0,00
21720;65;16,01 €;3;0,00
21720;72;26,53 €;4;0,00
21721;18;47,56 €;4;0,00
21722;69;27,44 €;3;0,25
21722;70;11,43 €;4;0,25
21723;2;14,48 €;4;0,00
21723;40;14,03 €;4;0,00
21724;21;7,62 €;3;0,20
21724;61;21,65 €;3;0,20
21725;28;34,76 €;4;0,25
21725;39;13,72 €;3;0,25
21725;46;9,15 €;4;0,25
21726;18;47,56 €;4;0,10
21726;43;35,06 €;3;0,00
21726;46;9,15 €;3;0,10
21727;18;47,56 €;3;0,00
21727;36;14,48 €;4;0,00
21728;1;13,72 €;4;0,25
21728;10;23,63 €;4;0,25
21728;71;16,46 €;3;0,25
21728;77;9,91 €;3;0,25
21729;19;7,01 €;3;0,00
21729;27;26,83 €;4;0,25
21729;39;13,72 €;3;0,00
21729;44;11,89 €;3;0,00
21729;52;4,27 €;3;0,00
21729;54;4,57 €;4;0,10
21729;62;30,03 €;3;0,00
21729;65;12,81 €;3;0,00
21729;71;13,11 €;4;0,00
21730;22;16,01 €;4;0,00
21730;24;3,35 €;4;0,15
21731;28;34,76 €;3;0,00
21731;72;26,53 €;4;0,00
21732;30;19,67 €;3;0,00
21732;53;25,00 €;3;0,05
21732;54;5,64 €;3;0,00
21733;19;7,01 €;4;0,25
21733;22;16,01 €;3;0,25
21734;30;19,67 €;4;0,25
21734;42;10,67 €;3;0,00
21735;16;13,26 €;3;0,10
21735;60;25,92 €;3;0,10
21736;4;16,77 €;4;0,10
21736;39;13,72 €;3;0,10
21736;54;5,64 €;4;0,10
21737;41;7,32 €;3;0,20
21738;14;17,68 €;4;0,10
21738;44;14,79 €;3;0,10
21738;47;7,32 €;4;0,10
21739;15;11,89 €;4;0,00
21739;41;7,32 €;3;0,00
21739;46;9,15 €;3;0,00
21739;47;7,32 €;4;0,00
21739;56;28,97 €;3;0,00
21739;60;25,92 €;3;0,00
21740;21;7,62 €;4;0,00
21740;40;14,03 €;4;0,05
21740;60;25,92 €;4;0,05
21740;77;9,91 €;4;0,05
21741;31;9,45 €;3;0,05
21741;40;14,03 €;3;0,05
21741;70;11,43 €;3;0,05
21742;20;61,74 €;3;0,00
21743;39;13,72 €;4;0,20
21743;58;10,06 €;3;0,20
21744;68;9,45 €;4;0,00
21745;40;14,03 €;3;0,05
21745;42;10,67 €;3;0,05
21745;51;40,40 €;3;0,05
21746;10;23,63 €;3;0,15
21746;56;28,97 €;4;0,15
21746;65;16,01 €;4;0,15
21747;51;40,40 €;3;0,00
21747;59;41,92 €;3;0,00
21747;76;13,72 €;4;0,00
21748;29;94,37 €;3;0,00
21748;65;16,01 €;4;0,00
21749;69;27,44 €;3;0,20
21749;71;16,46 €;4;0,20
21750;31;9,45 €;4;0,10
21750;55;18,29 €;4;0,10
21750;64;25,31 €;4;0,10
21751;36;14,48 €;3;0,00
21752;23;6,86 €;3;0,00
21752;46;9,15 €;4;0,00
21752;67;10,67 €;3;0,00
21752;73;11,43 €;4;0,00
21752;75;5,95 €;3;0,00
21753;16;13,26 €;4;0,00
21753;62;37,50 €;4;0,00
21753;65;16,01 €;4;0,00
21754;38;200,93 €;4;0,10
21754;71;16,46 €;4;0,00
21755;16;13,26 €;4;0,00
21755;42;10,67 €;4;0,00
21755;43;35,06 €;4;0,00
21756;23;6,86 €;4;0,00
21757;14;17,68 €;3;0,00
21757;53;25,00 €;4;0,00
21757;58;10,06 €;3;0,00
21758;10;23,63 €;4;0,00
21758;19;7,01 €;4;0,00
21758;44;14,79 €;3;0,00
21759;26;23,78 €;3;0,15
21759;33;1,83 €;4;0,15
21760;12;28,97 €;4;0,00
21760;33;1,83 €;3;0,00
21760;41;7,32 €;4;0,00
21760;54;5,64 €;3;0,00
21761;59;41,92 €;4;0,00
21762;2;14,48 €;1;0,00
21762;31;9,45 €;3;0,25
21762;42;10,67 €;3;0,25
21762;44;14,83 €;4;0,00
21762;46;9,15 €;1;0,00
21762;70;11,43 €;1;0,00
21762;78;16,77 €;3;0,00
21762;82;6,59 €;1;0,00
21762;598;7,24 €;1;0,00
21763;19;7,01 €;3;0,10
21763;21;7,62 €;4;0,10
21763;64;25,31 €;3;0,00
21764;33;1,83 €;3;0,00
21764;66;12,96 €;4;0,00
21764;75;5,95 €;3;0,00
21765;52;5,34 €;4;0,00
21766;40;14,03 €;3;0,00
21766;47;7,32 €;3;0,00
21766;60;25,92 €;3;0,00
21767;10;23,63 €;3;0,00
21767;41;7,32 €;4;0,00
21767;47;7,32 €;4;0,00
21768;17;29,73 €;3;0,20
21768;26;23,78 €;4;0,00
21769;9;73,94 €;4;0,25
21769;29;94,37 €;4;0,00
21769;36;14,48 €;4;0,25
21770;10;23,63 €;4;0,10
21770;28;34,76 €;4;0,10
21770;34;10,67 €;4;0,00
21771;1;13,72 €;3;0,25
21772;56;28,97 €;3;0,25
21772;77;9,91 €;3;0,25
21773;1;13,72 €;3;0,00
21773;29;94,37 €;3;0,00
21773;43;35,06 €;3;0,00
21773;44;14,79 €;3;0,00
21773;62;37,50 €;3;0,00
21774;63;33,54 €;3;0,00
21775;9;73,94 €;4;0,00
21775;54;5,64 €;4;0,15
21775;69;27,44 €;3;0,15
21775;73;11,43 €;4;0,15
21776;7;22,87 €;4;0,00
21776;59;41,92 €;3;0,00
21776;70;11,43 €;4;0,00
21777;8;30,49 €;4;0,00
21777;12;28,97 €;4;0,00
21777;24;3,35 €;3;0,00
21778;17;29,73 €;3;0,00
21778;46;9,15 €;4;0,00
21779;19;7,01 €;4;0,25
21779;35;13,72 €;4;0,25
21779;58;10,06 €;3;0,25
21779;70;11,43 €;3;0,25
21780;11;16,01 €;4;0,00
21780;17;29,73 €;4;0,05
21780;29;94,37 €;4;0,05
21780;65;16,01 €;4;0,05
21780;70;11,43 €;4;0,05
21781;47;7,32 €;4;0,00
21782;1;13,72 €;4;0,20
21782;34;10,67 €;4;0,20
21782;68;9,45 €;3;0,20
21782;71;16,46 €;4;0,20
21783;59;41,92 €;3;0,15
21783;71;16,46 €;3;0,15
21783;76;13,72 €;3;0,15
21784;3;7,62 €;4;0,00
21784;76;13,72 €;4;0,00
21785;2;14,48 €;4;0,00
21785;59;41,92 €;3;0,00
21785;73;11,43 €;3;0,00
21786;4;16,77 €;4;0,00
21786;24;3,35 €;3;0,00
21786;48;9,76 €;3;0,00
21787;31;9,45 €;3;0,00
21787;32;24,39 €;4;0,00
21788;16;13,26 €;3;0,00
21788;43;35,06 €;3;0,00
21788;59;41,92 €;4;0,00
21789;55;18,29 €;3;0,00
21789;57;14,94 €;3;0,00
21789;70;11,43 €;3;0,15
21790;5;16,31 €;4;0,00
21790;36;14,48 €;4;0,00
21791;8;30,49 €;3;0,00
21791;51;40,40 €;3;0,00
21791;60;25,92 €;4;0,00
21792;19;7,01 €;4;0,00
21792;47;7,32 €;4;0,00
21793;19;7,01 €;4;0,00
21793;41;7,32 €;3;0,00
21793;53;25,00 €;4;0,00
21794;53;25,00 €;4;0,05
21794;56;28,97 €;3;0,00
21795;10;23,63 €;4;0,00
21795;26;23,78 €;3;0,00
21795;45;7,32 €;4;0,00
21795;46;9,15 €;3;0,00
21796;2;14,48 €;3;0,25
21796;17;29,73 €;3;0,25
21796;47;7,32 €;4;0,25
21796;56;28,97 €;4;0,25
21796;58;10,06 €;4;0,25
21797;10;23,63 €;3;0,00
21797;71;16,46 €;3;0,00
21798;21;7,62 €;4;0,00
21798;51;40,40 €;4;0,00
21798;61;21,65 €;4;0,00
21799;21;7,62 €;3;0,05
21799;54;5,64 €;4;0,00
21799;69;27,44 €;3;0,05
21800;12;28,97 €;3;0,00
21800;16;13,26 €;3;0,00
21800;36;14,48 €;3;0,00
21800;62;37,50 €;3;0,00
21801;18;47,56 €;4;0,25
21801;30;19,67 €;4;0,25
21801;54;5,64 €;3;0,25
21802;35;13,72 €;3;0,00
21802;71;16,46 €;4;0,00
21803;44;14,79 €;4;0,05
21804;2;14,48 €;4;0,00
21804;31;9,45 €;4;0,00
21804;68;9,45 €;3;0,00
21804;75;5,95 €;3;0,00
21805;26;23,78 €;4;0,00
21806;10;23,63 €;4;0,00
21806;61;21,65 €;4;0,00
21807;41;7,32 €;4;0,00
21807;52;5,34 €;4;0,00
21807;55;18,29 €;4;0,00
21808;4;16,77 €;3;0,00
21808;11;16,01 €;4;0,00
21809;17;29,73 €;3;0,05
21809;56;28,97 €;4;0,05
21809;59;41,92 €;4;0,05
21810;30;19,67 €;4;0,00
21810;40;14,03 €;4;0,00
21810;55;18,29 €;4;0,00
21810;60;25,92 €;4;0,00
21811;1;13,72 €;4;0,00
21811;21;7,62 €;3;0,00
21811;50;12,35 €;3;0,00
21812;16;13,26 €;4;0,05
21812;31;9,45 €;4;0,05
21812;65;16,01 €;4;0,05
21813;21;7,62 €;3;0,05
21813;51;40,40 €;3;0,05
21814;76;13,72 €;3;0,00
21815;14;17,68 €;4;0,00
21815;28;34,76 €;3;0,00
21815;52;5,34 €;3;0,00
21816;6;19,06 €;3;0,00
21816;30;19,67 €;4;0,00
21816;76;13,72 €;3;0,00
21817;61;21,65 €;3;0,10
21817;77;9,91 €;4;0,10
21818;65;16,01 €;3;0,00
21818;75;5,95 €;3;0,00
21819;13;4,57 €;4;0,00
21819;41;7,32 €;4;0,00
21820;16;13,26 €;4;0,00
21821;36;14,48 €;4;0,00
21821;52;5,34 €;4;0,00
21822;28;34,76 €;4;0,20
21822;35;13,72 €;3;0,20
21822;45;7,32 €;3;0,20
21822;56;28,97 €;4;0,20
21823;2;14,48 €;4;0,20
21824;3;7,62 €;3;0,00
21824;60;25,92 €;4;0,00
21824;72;26,53 €;3;0,00
21825;46;9,15 €;3;0,05
21826;40;14,03 €;4;0,20
21827;18;47,56 €;3;0,00
21827;44;14,79 €;4;0,00
21827;59;41,92 €;3;0,00
21827;72;26,53 €;4;0,00
21828;13;4,57 €;4;0,00
21828;42;10,67 €;3;0,00
21828;62;37,50 €;4;0,00
21828;69;27,44 €;3;0,00
21829;31;9,45 €;4;0,00
21829;41;7,32 €;2;0,00
21829;63;33,54 €;4;0,00
21829;69;27,44 €;5;0,00
21829;315;49,62 €;1;0,00
21829;3039;6,34 €;1;0,00
21830;23;6,86 €;3;0,00
21830;40;14,03 €;3;0,00
21830;56;28,97 €;3;0,00
21831;56;28,97 €;4;0,00
21831;59;41,92 €;4;0,00
21831;76;13,72 €;4;0,00
21832;14;17,68 €;4;0,15
21832;45;7,32 €;3;0,15
21832;59;41,92 €;3;0,15
21833;26;23,78 €;4;0,10
21833;30;19,67 €;3;0,00
21833;50;12,35 €;3;0,10
21833;73;11,43 €;4;0,00
21833;420;4,80 €;1;0,00
21833;2242;9,62 €;1;0,00
21834;1;13,72 €;4;0,00
21834;69;27,44 €;4;0,00
21835;45;7,32 €;4;0,00
21835;74;7,62 €;4;0,00
21836;40;14,03 €;4;0,00
21836;73;11,43 €;4;0,00
21836;420;4,80 €;1;0,00
21836;2242;9,62 €;1;0,00
21837;47;7,32 €;3;0,25
21837;56;28,97 €;3;0,25
21837;57;14,94 €;4;0,25
21837;69;27,44 €;3;0,25
21838;18;47,56 €;3;0,20
21838;36;14,48 €;3;0,20
21838;68;9,45 €;4;0,20
21838;69;27,44 €;3;0,20
21839;34;10,67 €;3;0,00
21839;59;41,92 €;4;0,00
21839;62;37,50 €;3;0,00
21839;64;25,31 €;3;0,00
21839;73;11,43 €;4;0,00
21839;420;4,80 €;1;0,00
21839;2242;9,62 €;1;0,00
21840;26;23,78 €;3;0,00
21840;52;5,34 €;4;0,00
21840;70;11,43 €;3;0,00
21841;32;24,39 €;4;0,00
21842;25;10,67 €;4;0,25
21842;27;33,54 €;3;0,00
21842;43;35,06 €;3;0,25
21843;25;10,67 €;3;0,25
21843;75;5,95 €;4;0,00
21844;39;13,72 €;4;0,00
21844;47;7,32 €;3;0,00
21844;51;40,40 €;3;0,00
21844;56;28,97 €;4;0,00
21845;21;7,62 €;3;0,00
21845;22;16,01 €;4;0,00
21845;24;3,35 €;3;0,00
21846;3;7,62 €;3;0,10
21846;39;13,72 €;4;0,10
21847;65;16,01 €;4;0,10
21848;2;14,48 €;3;0,00
21848;7;22,87 €;3;0,00
21848;68;9,45 €;3;0,00
21849;42;10,67 €;4;0,00
21850;22;16,01 €;4;0,00
21850;31;9,45 €;4;0,00
21850;60;25,92 €;4;0,00
21850;71;16,46 €;4;0,00
21851;41;7,32 €;3;0,05
21851;52;5,34 €;4;0,05
21851;61;21,65 €;3;0,00
21851;62;37,50 €;4;0,00
21852;11;16,01 €;4;0,25
21853;71;16,46 €;4;0,00
21854;29;94,37 €;4;0,00
21854;59;41,92 €;3;0,00
21855;17;29,73 €;3;0,00
21855;31;9,45 €;4;0,20
21855;75;5,95 €;4;0,20
21856;31;9,45 €;4;0,25
21856;66;12,96 €;4;0,00
21857;10;23,63 €;4;0,00
21857;67;10,67 €;4;0,00
21858;31;9,45 €;4;0,05
21858;42;10,67 €;4;0,05
21858;45;7,32 €;3;0,05
21858;51;40,40 €;4;0,05
21859;42;10,67 €;3;0,20
21860;41;7,32 €;4;0,00
21861;16;13,26 €;3;0,00
21861;62;37,50 €;3;0,00
21862;70;11,43 €;3;0,00
21862;77;9,91 €;4;0,00
21863;54;5,64 €;4;0,20
21863;56;28,97 €;3;0,20
21863;74;7,62 €;3;0,00
21864;31;9,45 €;3;0,00
21865;31;9,45 €;4;0,00
21865;38;200,93 €;4;0,00
21866;36;14,48 €;3;0,00
21866;39;13,72 €;4;0,15
21866;72;26,53 €;3;0,15
21867;10;23,63 €;4;0,00
21867;75;5,95 €;4;0,00
21868;8;30,49 €;3;0,20
21868;30;19,67 €;4;0,20
21868;75;5,95 €;3;0,20
21869;2;14,48 €;4;0,05
21869;29;94,37 €;3;0,05
21870;19;7,01 €;4;0,05
21870;75;5,95 €;3;0,05
21871;18;47,56 €;3;0,00
21871;35;13,72 €;4;0,00
21871;63;33,54 €;3;0,00
21871;68;9,45 €;4;0,00
21872;7;22,87 €;4;0,15
21872;56;28,97 €;3;0,15
21873;29;94,37 €;4;0,05
21873;41;7,32 €;3;0,05
21874;2;14,48 €;4;0,00
21874;54;5,64 €;4;0,00
21874;68;9,45 €;4;0,00
21875;41;7,32 €;4;0,00
21875;52;5,34 €;4;0,00
21876;14;17,68 €;4;0,20
21876;54;5,64 €;4;0,20
21877;16;13,26 €;4;0,00
21877;17;29,73 €;3;0,25
21878;26;23,78 €;3;0,20
21878;44;14,79 €;4;0,00
21878;64;25,31 €;3;0,20
21878;69;27,44 €;3;0,20
21879;11;16,01 €;3;0,00
21880;62;37,50 €;4;0,00
21880;72;26,53 €;4;0,00
21881;13;4,57 €;3;0,15
21881;24;3,35 €;3;0,15
21881;59;41,92 €;3;0,00
21882;11;16,01 €;4;0,10
21882;51;40,40 €;4;0,10
21882;54;5,64 €;4;0,10
21883;17;29,73 €;3;0,25
21883;29;94,37 €;3;0,25
21884;30;19,67 €;3;0,25
21884;51;40,40 €;3;0,25
21884;55;18,29 €;4;0,25
21884;62;37,50 €;4;0,25
21885;19;7,01 €;3;0,05
21885;25;10,67 €;4;0,05
21885;59;41,92 €;4;0,05
21886;10;23,63 €;3;0,00
21886;28;34,76 €;3;0,00
21886;49;15,24 €;4;0,15
21887;34;10,67 €;4;0,00
21887;38;200,93 €;4;0,00
21888;2;14,48 €;3;0,25
21888;65;16,01 €;4;0,00
21888;74;7,62 €;4;0,25
21889;27;26,83 €;4;0,25
21889;40;14,03 €;3;0,00
21889;44;11,89 €;3;0,00
21889;52;4,27 €;3;0,00
21889;54;4,57 €;4;0,10
21889;62;30,03 €;3;0,00
21889;65;12,81 €;3;0,00
21889;71;13,11 €;4;0,00
21890;56;28,97 €;3;0,15
21890;76;13,72 €;4;0,15
21891;52;5,34 €;3;0,00
21892;13;4,57 €;4;0,00
21892;25;10,67 €;4;0,00
21892;70;11,43 €;4;0,00
21893;19;7,01 €;4;0,00
21893;27;26,83 €;4;0,25
21893;44;11,89 €;3;0,00
21893;54;4,57 €;4;0,10
21894;31;9,45 €;4;0,10
21894;72;26,53 €;3;0,10
21894;77;9,91 €;3;0,00
21895;2;14,48 €;4;0,20
21895;46;9,15 €;3;0,00
21896;19;0,00 €;1;0,00
21896;27;0,00 €;1;0,00
21896;41;7,32 €;3;0,00
21896;43;35,06 €;3;0,15
21896;44;0,00 €;1;0,00
21896;48;9,76 €;4;0,15
21896;54;0,00 €;1;0,00
21896;61;21,65 €;3;0,15
21897;33;1,83 €;4;0,00
21898;38;200,93 €;3;0,05
21898;62;37,50 €;3;0,05
21899;26;23,78 €;3;0,15
21899;38;200,93 €;3;0,00
21899;40;14,03 €;4;0,15
21899;62;37,50 €;3;0,15
21900;32;24,39 €;3;0,00
21900;41;7,32 €;3;0,00
21901;19;7,01 €;4;0,00
21901;27;26,83 €;4;0,25
